Date,Close
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,11.44
2020-03-17,12.0
2020-03-18,11.02
2020-03-19,11.3
2020-03-20,10.8
2020-03-21,
2020-03-22,
2020-03-23,10.44
2020-03-24,11.48
2020-03-25,11.73
2020-03-26,12.26
2020-03-27,11.81
2020-03-28,
2020-03-29,
2020-03-30,12.17
2020-03-31,12.11
2020-04-01,11.6
2020-04-02,11.8
2020-04-03,11.63
2020-04-04,
2020-04-05,
2020-04-06,12.39
2020-04-07,12.52
2020-04-08,13.06
2020-04-09,13.52
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,13.32
2020-04-14,13.57
2020-04-15,13.02
2020-04-16,12.97
2020-04-17,13.49
2020-04-18,
2020-04-19,
2020-04-20,13.33
2020-04-21,13.01
2020-04-22,13.18
2020-04-23,13.24
2020-04-24,13.4
2020-04-25,
2020-04-26,
2020-04-27,13.78
2020-04-28,13.93
2020-04-29,14.43
2020-04-30,14.04
2020-05-01,13.54
2020-05-02,
2020-05-03,
